"Puissance" "Cylindree" "Longueur" "Largeur" "Surface" "Poids" "Vitesse" "DepArret" "Conso"
"Alfa-Romeo 33 1.5 ie" 7 1490 4.07 1.61 6.58 970 180 31.4 7.7
"Alfa-Romeo 155 2.0" 10 1995 4.44 1.7 7.55 1215 205 31.3 8
"Alfa-Romeo 155 TD" 6 1929 4.44 1.7 7.55 1250 180 35 6.4
"Alfa-Romeo 164 2.5 T" 7 2500 4.55 1.76 8.02 1490 202 32.2 6.8
"BMW 316i" 7 1596 4.43 1.7 7.53 1190 191 34.1 7.9
"BMW 325 TD" 7 2498 4.43 1.7 7.53 1335 198 33.3 6.9
"BMW 518i" 10 1796 4.72 1.75 8.26 1360 194 33.6 8.6
"BMW 525 TD" 7 2498 4.72 1.75 8.26 1465 188 NA 7.6
"BMW 730i" 16 2986 4.91 1.85 9.06 1600 222 30.1 11.1
"Citroen AX1.0" 12 954 3.53 1.55 5.48 706 149 38.3 5.8
"Citroen AX1.4i" 7 1360 3.53 1.55 5.48 772 176 33.6 6.7
"Citroen AX14TD" 4 1360 3.53 1.55 5.48 720 152 38.3 4.2
"Citroen ZX1.1" 5 1124 4.07 1.7 6.93 935 161 37.6 6.6
"Citroen ZX1.6" 7 1580 4.07 1.7 6.93 995 177 34.9 7.5
"Citroen ZX1.9TD" 5 1905 4.07 1.7 6.93 1050 185 34 5.9
"Citroen XANTIA 1.6I" 7 1580 4.44 1.75 7.8 1124 175 36.4 7.9
"Citroen XANTIA 1.8I" 9 1761 4.44 1.75 7.8 1176 187 34.3 7.9
"Citroen XANTIA 2.0i" 11 1998 4.44 1.75 7.8 1238 198 33.3 8.3
"Citroen XANTIA TD" 6 1905 4.44 1.75 7.8 1252 180 35.5 6.5
"Citroen XM 2.0i" 11 1998 4.71 1.79 8.45 1310 201 33.3 9.5
"Citroen XM V6" 16 2963 4.71 1.79 8.45 1420 222 33.3 9.5
"Citroen XM TD12" 6 2088 4.71 1.79 8.45 1396 192 34.6 6.4
"Fiat Panda 1000i.e" 4 999 3.41 1.49 5.09 715 140 NA 6.2
"Fiat UNO 1.4i.e" 6 1372 3.69 1.56 5.75 860 165 34 7.4
"Fiat UNO TD" 5 1367 3.69 1.56 5.75 910 165 34 5.3
"Fiat TIPO 1.8ie" 9 1756 3.96 1.7 6.73 1180 183 33 8.8
"Fiat TIPO TD" 6 1929 3.96 1.7 6.73 1150 175 34 5.9
"Fiat TEMPRA 1.8ie" 9 1756 4.35 1.7 7.38 1190 188 32.7 8.5
"Fiat TEMPRA TD" 6 1929 4.35 1.7 7.38 1190 178 34 6
"Fiat CROMA 2.0" 10 1995 4.52 1.76 7.95 1250 190 32.1 8.9
"Fiat CROMA 2.5 TD" 8 2500 4.52 1.76 7.95 1370 192 33 7.2
"Ford Fiesta 1400" 6 1392 3.74 1.61 6.01 840 163 NA 7.2
"Ford Fiesta TD" 5 1753 3.74 1.61 6.01 900 170 NA 6.1
"Ford Escort 1400" 6 1391 4.1 1.7 6.96 NA 163 NA 7.8
"Ford Escort 1800 TD" 6 1753 4.1 1.7 6.96 NA 172 NA 6.3
"Ford MONDEO 1800i" 7 1796 4.48 1.75 7.83 1277 197 NA 7.2
"Ford MONDEO TD" 5 1753 4.48 1.75 7.83 1277 183 NA 6.2
"Ford Scorpio 2000i" 10 1998 4.74 1.69 8.03 1245 195 NA 7.7
"Ford Scorpio 2900i" 15 1998 4.74 1.69 8.03 1345 201 NA 10.8
"Peugeot 106 XN" 4 954 3.56 1.58 5.62 760 145 39 5.9
"Peugeot 106 XTD" 4 1360 3.56 1.58 5.62 840 145 40.1 4.8
"Peugeot 306 XN" 6 1360 3.99 1.69 6.75 1020 165 36.2 6.7
"Peugeot 306 XTDT" 6 1905 3.99 1.69 6.75 1120 180 34.2 6
"Peugeot 405 GL" 6 1360 4.41 1.69 7.46 1030 169 36.3 7.1
"Peugeot 405 SR" 7 1761 4.41 1.69 7.46 1100 185 33.5 7.5
"Peugeot 405 STD" 6 1905 4.41 1.69 7.46 1150 181 34.4 7.2
"Peugeot 605 SLi" 9 1998 4.72 1.8 8.5 1295 199 33.2 9.5
"Peugeot 605 Sv24" 16 2975 4.72 1.8 8.5 1460 235 28.6 9.5
"Peugeot 605 SLD" 6 2138 4.72 1.8 8.5 1360 176 36.5 6.6
"Renault Twingo" 5 1239 3.43 1.63 5.59 790 150 35.9 6.5
"Renault Clio 1.2 RN" 5 1171 3.71 1.62 6.02 825 155 38.8 6.2
"Renault Clio 1.4 RN" 6 1390 3.71 1.62 6.02 850 175 33 6.4
"Renault Clio 1.9D" 6 1870 3.71 1.62 6.02 905 161 36 5.5
"Renault 19 1.4RN" 7 1390 4.16 1.7 7.08 965 173 34 6.6
"Renault 19 1.8RN" 7 1794 4.16 1.7 7.08 1045 176 33.6 7.7
"Renault 19 1.9 dT" 5 1870 4.16 1.7 7.08 1080 183 32.9 5.9
"Renault 21 Prima TS" 7 1721 4.53 1.73 7.82 1010 185 32.1 7.5
"Renault 21 Prima TD" 6 2068 4.53 1.73 7.82 1130 177 33.5 6.1
"Renault Safrane2.0i" 9 1995 4.73 1.82 8.61 1370 189 33.8 8.8
"Renault Safrane2.5 d" 6 2499 4.73 1.82 8.61 1565 195 34.3 7.6
"Renault Espace 2.2i" 11 2165 4.43 2.06 9.13 1320 175 33.9 9.7
"Renault Espace 2.1dT" 6 2068 4.43 2.06 9.13 1350 162 36.5 7.5
